Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
BEN,Franklin Resources Inc.,Financial,Asset Management,USA,15.87,13.66,0.96,4.21,3.21,5.04,22.08,0.86%,12.40%,3.51,13.10%,9.24%,8.80%,16.55%,5.80%,-1.10%,4.10%,14.10%,21.50%,16.70%,,37.50%,26.70%,1.48%,4.52%,17.63%,1.59,1.10%,1.63%,-1.21%,2.13%,-4.46%,5.79%,-4.98%,24.67%,51.35,55.7
BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,30.2,24.98,3.16,6.6,9.71,45.13,68.72,1.51%,35.40%,3.06,11.30%,10.40%,9.90%,9.55%,3.80%,17.00%,4.40%,16.80%,35.50%,22.50%,69.50%,32.70%,22.00%,1.42%,11.94%,33.86%,0.64,0.89%,1.52%,-0.31%,8.66%,-4.87%,6.87%,-4.87%,40.62%,53.43,92.42
BG,Bunge Limited,Consumer Goods,Farm Products,USA,188.2,11.65,23.53,0.2,1.28,3.15,14.25,1.64%,89.60%,0.44,-64.10%,18.88%,-34.00%,8.00%,3.10%,124.30%,8.40%,0.70%,2.10%,1.60%,4.40%,1.80%,0.30%,9.80%,4.51%,9.92%,0.88,1.53%,1.59%,7.98%,6.28%,-0.47%,13.42%,-0.47%,14.63%,70.41,82.81
BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,23.72,12.25,0.76,1.27,1.65,25.47,48.87,1.00%,20.80%,2.87,-16.80%,32.86%,-14.10%,31.13%,13.50%,48.10%,8.20%,4.50%,7.10%,6.10%,18.10%,9.90%,5.40%,-2.49%,8.42%,45.91%,1.6,1.46%,1.91%,-4.83%,6.80%,-9.78%,1.99%,-9.78%,48.67%,41.34,68.08
BIIB,Biogen Idec Inc.,Healthcare,Biotechnology,USA,37.77,21.02,1.89,9.62,8.42,51.03,34.03,,0.00%,9,35.60%,23.07%,24.10%,20.00%,11.10%,46.10%,40.50%,17.70%,24.10%,20.70%,87.20%,35.80%,25.60%,13.43%,-1.64%,60.76%,1.21,1.67%,2.22%,5.22%,11.64%,-2.59%,13.97%,-5.27%,64.55%,58.66,339.97
BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,16.94,14.55,1.69,13.32,1.21,0.23,,1.74%,26.70%,2.31,-14.30%,12.33%,7.40%,10.00%,-9.50%,0.00%,-50.90%,0.70%,7.30%,2.70%,,,79.50%,13.59%,24.19%,28.52%,1.28,0.92%,1.18%,3.63%,13.88%,-2.35%,13.35%,-2.35%,35.02%,60.9,39.12
BKD,Brookdale Senior Living Inc.,Healthcare,Long-Term Care Facilities,USA,,187.3,,2.03,4.2,117.77,135.01,,,-0.06,94.40%,195.00%,61.80%,11.12%,8.40%,25.00%,4.50%,-0.20%,-0.70%,3.50%,30.30%,5.80%,-0.30%,4.68%,10.17%,33.27%,2.13,1.66%,1.92%,1.82%,10.69%,-4.23%,7.41%,-4.23%,41.89%,58.16,34.65
BKW,"Burger King Worldwide, Inc.",Services,Restaurants,USA,35.67,23.89,2.23,9.16,6.22,10.56,33.05,1.03%,35.50%,0.76,97.00%,16.53%,0.00%,15.97%,,16.70%,-6.10%,4.70%,18.10%,9.50%,80.00%,58.50%,25.90%,6.65%,2.88%,37.47%,,1.36%,1.68%,2.25%,9.56%,-3.18%,7.49%,-3.18%,45.42%,62.45,27.11
BLK,"BlackRock, Inc.",Financial,Asset Management,USA,17.93,15.19,1.16,5.06,2.05,9.84,36.29,2.37%,38.90%,18.18,22.30%,11.71%,23.90%,15.50%,15.00%,12.60%,11.90%,1.40%,11.90%,8.40%,89.70%,40.20%,29.30%,9.10%,9.10%,24.63%,1.44,1.16%,1.44%,3.24%,6.81%,-1.78%,8.91%,-1.78%,29.90%,67.06,326
BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,18.87,15.21,1.93,1.02,7.28,56.34,11.68,0.82%,15.10%,3.35,5.80%,7.81%,10.90%,9.77%,4.40%,69.80%,4.10%,6.30%,41.90%,13.40%,19.60%,11.30%,5.70%,5.18%,15.69%,38.69%,0.83,1.08%,1.31%,0.90%,12.97%,-2.63%,5.63%,-2.63%,44.85%,53.02,63.2
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,USA,,,,16.46,7.01,12.34,,,,-1.31,-34.70%,4.90%,-44.30%,25.00%,13.10%,-53.30%,40.20%,-8.70%,-13.50%,-8.50%,83.00%,-23.00%,-29.80%,24.22%,-14.51%,7.52%,0.96,3.14%,3.35%,12.00%,5.76%,-1.04%,26.73%,-16.72%,27.47%,69.01,70.16
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,31.17,28.91,2.35,5.13,5.42,11.59,67.8,2.87%,87.10%,1.61,32.80%,-4.25%,-3.60%,13.25%,-1.50%,-37.50%,-3.90%,7.60%,17.70%,10.70%,73.60%,22.50%,16.60%,3.61%,-6.26%,23.96%,0.41,0.81%,1.43%,2.70%,-0.55%,-2.26%,8.24%,-11.44%,25.62%,56.28,50.18
BPL,"Buckeye Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,25.04,19.31,5.01,1.61,2.9,293.82,,5.69%,143.90%,3.09,36.30%,12.84%,19.40%,5.00%,21.70%,-3.30%,49.60%,5.00%,11.30%,7.50%,20.50%,8.80%,5.70%,-0.19%,9.08%,16.76%,0.57,1.29%,2.00%,-2.40%,6.24%,-7.54%,4.31%,-7.54%,32.29%,45.15,77.38
BR,"Broadridge Financial Solutions, Inc.",Technology,Information & Delivery Services,USA,19.87,15.36,1.66,1.97,5.28,14.48,21.19,1.99%,38.50%,2.12,25.40%,10.56%,6.10%,12.00%,4.30%,3.70%,2.40%,12.90%,29.60%,19.20%,31.10%,17.00%,10.30%,4.62%,15.02%,38.78%,1.02,1.43%,1.62%,2.90%,9.47%,-0.43%,6.82%,-0.43%,47.49%,64.49,42.12
BRCM,Broadcom Corp.,Technology,Semiconductor - Integrated Circuits,USA,35.32,12.04,2.35,2.58,2.65,6.77,15.72,1.22%,41.10%,1.11,-41.60%,14.89%,12.20%,15.00%,12.30%,100.00%,-2.30%,5.50%,7.70%,4.60%,50.50%,10.20%,7.90%,28.47%,28.05%,57.41%,1.12,1.46%,1.78%,3.44%,23.39%,-3.76%,7.31%,-3.76%,62.06%,66.97,39.21
BRK-A,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,,19.05,,1.77,1.43,6.02,23.5,,,,6.50%,7.98%,0.00%,8.50%,11.10%,40.80%,11.30%,4.40%,9.50%,6.70%,25.10%,18.30%,11.20%,7.01%,19.72%,18.19%,0.35,0.64%,1.24%,5.23%,11.10%,-0.80%,10.01%,-0.80%,24.84%,67.27,203532
BRX,Brixmor Property Group Inc.,Financial,REIT - Retail,USA,,48.47,,4.77,2.22,94.19,36.91,3.37%,,-0.04,36.50%,27.27%,38.20%,16.20%,-1.00%,350.00%,10.70%,0.10%,0.40%,3.30%,75.10%,27.80%,0.60%,7.18%,13.47%,,,1.31%,1.48%,3.34%,11.55%,-1.45%,11.66%,-1.45%,25.56%,60.73,23.75
BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,69.39,13.89,6.69,2.29,2.52,46.38,23.55,,0.00%,0.18,96.90%,9.77%,41.90%,10.37%,-2.40%,-100.00%,3.50%,1.40%,3.70%,2.10%,70.10%,12.80%,3.30%,-2.65%,-4.51%,11.72%,1.07,1.26%,1.86%,-2.22%,-2.13%,-6.37%,3.82%,-11.29%,18.50%,46.01,12.49
BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,21.76,15.64,1.27,1.78,3.7,18.43,94.07,0.80%,17.30%,2.86,29.20%,18.38%,82.10%,17.18%,7.20%,10.70%,16.00%,9.20%,18.20%,13.30%,21.40%,12.80%,8.20%,0.10%,1.73%,26.90%,1.52,1.49%,1.68%,-3.23%,4.58%,-7.79%,2.96%,-7.79%,32.89%,45.05,62.23
BX,The Blackstone Group L.P.,Financial,Asset Management,USA,12.37,8.83,0.55,4.85,3.11,18.71,,5.27%,52.90%,2.62,382.90%,-4.92%,19.70%,22.35%,,136.10%,56.70%,5.50%,26.40%,14.90%,80.00%,55.20%,20.40%,5.60%,1.25%,57.68%,2.06,1.47%,2.14%,-2.28%,5.28%,-8.75%,4.87%,-8.75%,60.51%,41.15,32.42
BXP,Boston Properties Inc.,Financial,REIT - Office,USA,69.7,54.87,8.5,8.09,3.4,18.02,,2.13%,199.60%,1.75,145.50%,20.16%,36.00%,8.20%,7.90%,-83.10%,15.60%,1.90%,6.80%,4.00%,63.90%,33.00%,16.10%,3.15%,11.51%,25.87%,0.83,1.37%,1.28%,2.15%,9.71%,-1.66%,7.95%,-1.66%,29.44%,56.44,121.98
C,Citigroup Inc.,Financial,Money Center Banks,USA,17.32,9.47,1.55,2.49,0.76,0.25,7.93,0.08%,1.30%,2.94,73.20%,47.01%,15.60%,11.19%,-10.00%,-97.70%,-1.80%,0.50%,4.50%,8.20%,,30.60%,14.50%,7.72%,4.02%,2.13%,1.77,1.67%,1.43%,4.99%,3.52%,-0.57%,9.43%,-7.82%,12.78%,67.04,50.93
CA,"CA Technologies, Inc.",Technology,Business Software & Services,USA,16.42,10.86,,2.82,2.19,3.86,19.7,3.54%,56.20%,1.72,-2.00%,5.18%,9.40%,-3.70%,1.80%,-33.30%,-2.40%,6.70%,14.00%,13.00%,85.40%,26.40%,17.70%,-1.57%,-12.05%,-3.12%,1.34,0.81%,1.26%,-0.68%,-7.05%,-4.33%,2.35%,-20.05%,2.35%,47.64,28.24
CAG,"ConAgra Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,46.16,13.3,7.13,0.76,2.56,73.84,25.66,3.14%,94.30%,0.69,-62.20%,6.26%,-12.30%,6.48%,7.50%,-268.90%,-3.00%,2.20%,8.20%,4.20%,20.40%,5.60%,2.50%,1.56%,13.43%,-4.95%,0.48,0.84%,1.16%,3.94%,3.20%,-2.27%,12.26%,-6.49%,15.22%,67.94,31.85
CAH,"Cardinal Health, Inc.",Services,Drugs Wholesale,USA,21.64,15.26,2.09,0.27,3.86,8.57,13.2,1.88%,35.40%,3.37,247.40%,12.61%,9.90%,10.36%,-1.00%,139.50%,-9.90%,4.70%,18.10%,12.10%,5.70%,2.40%,1.30%,6.94%,2.57%,47.01%,0.57,1.04%,1.43%,3.52%,7.24%,-1.11%,8.96%,-1.11%,49.80%,60.77,72.93
CAM,Cameron International Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,22.13,14.01,1.22,1.4,2.94,9.31,41.55,,0.00%,3.28,-5.00%,24.34%,2.50%,18.10%,11.00%,83.60%,19.60%,5.40%,13.20%,8.30%,28.20%,11.60%,7.10%,14.75%,15.83%,28.71%,1.33,1.57%,1.90%,4.30%,15.54%,-2.62%,13.00%,-2.62%,38.25%,57.01,72.58
CAR,"Avis Budget Group, Inc.",Services,Rental & Leasing Services,USA,66.24,18.18,2.19,0.86,10.85,13.35,,,0.00%,1.04,-94.20%,27.45%,15.00%,30.20%,5.80%,192.30%,9.60%,0.70%,16.30%,4.30%,48.90%,10.90%,1.40%,22.80%,49.60%,139.45%,3.07,2.02%,2.58%,13.90%,41.32%,-1.25%,25.80%,-1.25%,159.28%,74.23,68.89
CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery,USA,17.88,14.87,1.39,1.22,3.22,8.5,15.24,2.61%,40.80%,6,-32.20%,14.85%,0.30%,12.84%,1.60%,8.30%,-3.20%,4.50%,19.30%,7.40%,26.40%,10.60%,7.00%,3.80%,11.62%,30.80%,1.59,0.92%,1.34%,0.62%,10.27%,-3.57%,8.27%,-3.57%,35.16%,58.5,107.31
CB,The Chubb Corporation,Financial,Property & Casualty Insurance,USA,11.07,11.62,1.74,1.57,1.35,395.39,15.2,2.21%,22.20%,8.17,58.90%,10.90%,12.90%,6.35%,0.40%,-8.10%,-0.10%,4.00%,12.80%,12.10%,,38.30%,14.80%,-0.97%,5.64%,8.72%,0.59,0.67%,1.02%,-0.95%,0.19%,-4.19%,4.66%,-6.05%,11.52%,53.15,90.43
CBG,"CBRE Group, Inc.",Financial,Property Management,USA,29.73,16.55,2.21,1.31,4.88,27.4,,,0.00%,1.06,-9.40%,12.93%,16.90%,13.47%,7.00%,540.00%,44.20%,5.20%,18.40%,8.50%,40.10%,7.90%,4.50%,8.10%,14.79%,45.07%,2.05,1.19%,1.65%,-0.73%,12.68%,-6.69%,5.60%,-6.69%,47.38%,49.84,31.51
CBS,CBS Corporation,Services,Entertainment - Diversified,USA,20.03,15.21,1.35,2.23,3.83,122.15,36.02,0.79%,15.00%,3.02,21.00%,19.61%,16.80%,14.84%,1.80%,2.90%,-5.40%,7.10%,20.20%,13.90%,42.70%,22.10%,13.10%,-0.21%,-8.62%,15.63%,1.83,0.99%,1.51%,0.56%,-0.10%,-7.27%,7.17%,-10.98%,20.12%,55.21,60.5
CBST,Cubist Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,,47.42,,4.46,3.35,7.77,,,0.00%,0,-112.90%,96.47%,-16.30%,20.00%,19.40%,21.70%,13.80%,0.30%,0.60%,2.30%,72.90%,13.10%,0.70%,1.77%,-16.69%,4.51%,0.69,3.10%,2.57%,0.30%,-3.98%,-10.95%,12.92%,-19.56%,12.92%,57.94,66.06
CCE,Coca-Cola Enterprises Inc.,Consumer Goods,Beverages - Soft Drinks,USA,16.76,14.59,1.46,1.38,6.14,32.49,33.04,2.12%,31.50%,2.81,8.40%,10.85%,9.90%,11.47%,4.40%,18.20%,8.20%,7.50%,34.90%,12.70%,35.30%,12.30%,8.80%,3.29%,0.77%,28.34%,1.05,1.90%,1.64%,-0.20%,4.37%,-5.80%,7.14%,-5.80%,31.46%,50.14,47.1
CCI,Crown Castle International Corp.,Technology,Diversified Communication Services,USA,203.79,52.12,2.56,7.95,3.85,116.64,45.37,1.76%,179.50%,0.39,-59.40%,59.69%,24.90%,79.50%,14.60%,-61.10%,24.70%,0.60%,2.10%,3.70%,64.50%,29.80%,3.70%,5.08%,7.38%,17.77%,0.55,1.43%,1.58%,5.87%,7.41%,-1.29%,9.78%,-1.29%,18.32%,68.06,79.48
CCK,Crown Holdings Inc.,Consumer Goods,Packaging & Containers,USA,23.16,12.27,2.46,0.74,44.55,26.63,9.04,,0.00%,2.02,-38.70%,14.02%,10.60%,9.40%,0.80%,-18.30%,7.20%,3.30%,,11.10%,15.20%,10.40%,3.20%,-3.53%,5.48%,4.86%,0.94,1.03%,1.34%,-3.85%,2.09%,-9.27%,3.63%,-9.27%,25.45%,44.59,46.78
CCL,Carnival Corporation,Services,Resorts & Casinos,USA,27.08,16.06,1.31,1.89,1.21,85.82,203.01,2.64%,70.40%,1.4,-16.80%,35.24%,-13.70%,20.73%,0.70%,180.00%,4.40%,2.70%,4.50%,4.00%,31.50%,8.30%,7.00%,-5.27%,-3.88%,3.35%,1.38,0.82%,1.25%,1.64%,-0.21%,-5.37%,6.19%,-8.35%,22.99%,62.58,37.91
CDNS,Cadence Design Systems Inc.,Technology,Application Software,USA,40.08,16.18,4.03,3.41,3.96,7.81,18.57,,0.00%,0.44,-64.30%,16.20%,15.70%,9.95%,7.10%,166.70%,4.50%,5.20%,11.20%,13.10%,85.30%,12.00%,8.80%,4.10%,16.48%,25.07%,1.46,2.04%,1.89%,2.87%,15.03%,-1.37%,8.52%,-1.37%,40.52%,61.58,17.64
CDW,CDW Corporation,Technology,Information Technology Services,USA,29.57,13.08,2.23,0.5,6.68,25.05,21.5,0.51%,11.00%,1.12,18.30%,10.52%,15.80%,13.28%,5.90%,78.60%,11.80%,3.30%,26.30%,9.60%,16.10%,4.30%,1.70%,16.58%,34.80%,44.88%,,1.10%,1.73%,5.15%,23.17%,-0.18%,9.78%,-0.18%,62.31%,70.29,33.12
CE,Celanese Corporation,Basic Materials,Chemicals - Major Diversified,USA,7.52,11.35,0.89,1.41,3.23,8.61,51.63,1.63%,9.70%,8.14,194.00%,1.32%,24.90%,8.47%,-0.90%,100.00%,7.00%,13.90%,48.60%,17.40%,22.30%,16.10%,19.00%,0.44%,17.40%,23.12%,1.78,1.23%,1.64%,-1.56%,6.90%,-7.38%,6.29%,-7.38%,27.76%,54.97,61.19
CELG,Celgene Corporation,Healthcare,Biotechnology,USA,52.96,18.72,2,10.42,15.09,11.79,35.51,,0.00%,1.73,1.80%,33.18%,24.30%,26.41%,23.60%,28.60%,17.10%,10.60%,28.10%,15.40%,94.80%,29.00%,20.80%,22.05%,11.68%,32.86%,1.1,1.65%,1.84%,5.67%,14.56%,-1.85%,15.36%,-1.85%,37.05%,64.32,91.62
CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,46.74,29.01,2.8,6.1,5.93,19.51,130.07,,0.00%,1.21,0.00%,17.61%,14.70%,16.68%,11.70%,15.60%,20.40%,10.30%,13.30%,11.60%,82.50%,19.70%,13.40%,6.48%,-9.43%,18.75%,0.63,1.03%,2.01%,4.93%,2.44%,-1.79%,12.45%,-10.32%,23.47%,59.43,56.56
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,8.24,12.28,0.98,2.41,2.84,3.6,40.32,1.56%,9.00%,31.08,-13.40%,5.88%,15.30%,8.38%,6.90%,99.80%,-15.30%,16.00%,35.10%,21.10%,43.40%,41.00%,33.50%,4.49%,6.59%,34.64%,1.56,1.59%,1.74%,4.14%,7.40%,-1.89%,10.44%,-3.35%,38.69%,60.05,256.17
CFN,CareFusion Corporation,Healthcare,Medical Instruments & Supplies,USA,25.21,15.22,2.16,2.53,1.74,5.83,366.2,,0.00%,1.79,8.80%,10.88%,3.30%,11.65%,-0.60%,29.70%,7.40%,4.50%,7.20%,6.80%,50.50%,17.40%,10.70%,6.82%,9.81%,26.56%,0.93,1.17%,1.45%,2.18%,9.50%,-1.48%,9.04%,-1.48%,28.91%,62.39,45.13
CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,25.45,21.37,1.47,1.79,2.33,23.84,33.47,,0.00%,2.53,271.70%,31.18%,85.10%,17.27%,47.40%,218.80%,11.70%,4.40%,10.60%,7.80%,31.30%,10.20%,6.80%,-12.41%,-8.84%,20.70%,1.72,1.28%,1.87%,-6.90%,-4.28%,-14.46%,5.51%,-14.58%,24.26%,42.06,64.38
CG,The Carlyle Group LP,Financial,Asset Management,USA,14.68,10.1,10.48,2.12,0.21,7.88,,1.99%,82.80%,2.19,400.00%,8.42%,16.00%,1.40%,,500.00%,48.00%,0.30%,3.80%,3.80%,71.80%,40.50%,2.40%,2.88%,-11.34%,27.24%,,2.18%,3.20%,-3.69%,-2.53%,-10.23%,6.74%,-14.79%,35.19%,44.13,32.14
CHD,Church & Dwight Co. Inc.,Consumer Goods,Cleaning Products,USA,24.28,20.35,2.41,2.81,4.52,45.99,28.39,1.83%,41.50%,2.79,13.90%,10.41%,15.00%,10.06%,5.70%,6.60%,2.60%,9.50%,18.10%,13.50%,44.50%,19.10%,12.20%,-0.37%,1.39%,13.01%,0.45,0.78%,1.26%,0.30%,1.82%,-3.73%,6.61%,-3.73%,22.44%,55.3,67.75
CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,34.69,11.35,4.66,0.88,1.29,17.25,,1.35%,27.10%,0.75,150.00%,21.53%,-4.50%,7.45%,8.50%,-67.10%,47.40%,2.00%,6.50%,5.10%,88.70%,11.50%,4.30%,-0.34%,1.44%,9.24%,1.24,1.98%,2.38%,-5.56%,0.89%,-12.77%,2.52%,-12.77%,15.75%,43.07,26.02
CHRW,CH Robinson Worldwide Inc.,Services,Air Delivery & Freight Services,USA,25.07,20.82,2.48,0.77,10.02,69.86,62.49,2.05%,51.10%,2.73,-27.80%,10.86%,5.00%,10.10%,8.30%,14.30%,6.50%,14.10%,42.10%,22.60%,14.40%,5.30%,3.10%,15.47%,29.96%,23.29%,0.52,0.88%,1.55%,4.82%,17.49%,-1.51%,11.34%,-1.51%,37.14%,61.3,68.45
CHTR,"Charter Communications, Inc.",Services,CATV Systems,USA,,57.72,,2,130.61,4221.48,69.78,,,-1.61,45.60%,740.50%,24.00%,3.00%,4.70%,16.70%,14.90%,-1.00%,-164.00%,4.80%,34.40%,11.50%,-1.90%,10.56%,25.77%,25.40%,0.7,1.84%,2.45%,-0.92%,12.40%,-7.10%,5.66%,-7.10%,33.10%,48.82,155.43
CI,Cigna Corp.,Healthcare,Health Care Plans,USA,12.78,11.53,1.19,0.73,2.26,12.49,13.08,0.04%,0.50%,7.29,-7.70%,9.53%,38.10%,10.73%,10.90%,20.50%,9.30%,3.70%,19.20%,9.30%,,9.20%,6.00%,4.37%,17.68%,17.84%,0.6,1.10%,1.99%,0.52%,8.43%,-4.26%,6.65%,-4.26%,28.29%,52,93.14
CIE,"Cobalt International Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,,,,,2.47,3.59,,,,-1.31,-107.10%,-2.80%,-47.20%,3.72%,,-21.10%,,-13.80%,-23.70%,,,,,-16.99%,-17.36%,-38.78%,2.28,2.02%,2.71%,-10.46%,-15.88%,-22.03%,10.04%,-43.39%,10.04%,41.51,14.9
CINF,Cincinnati Financial Corp.,Financial,Property & Casualty Insurance,USA,18.63,17.37,12.58,1.67,1.24,17.09,12.82,3.65%,64.40%,2.59,21.80%,16.97%,3.50%,1.48%,3.50%,-22.70%,10.00%,2.40%,7.00%,8.10%,,13.30%,9.10%,0.15%,5.33%,5.19%,0.76,0.98%,1.22%,0.88%,-0.05%,-1.69%,5.58%,-8.58%,14.60%,59.29,48.24
CIT,CIT Group Inc.,Financial,Credit Services,USA,14.81,13.03,1.39,6.92,1.06,1.39,,0.83%,8.50%,3.24,213.60%,1.46%,26.50%,10.65%,-17.60%,17.20%,-2.90%,1.50%,7.90%,0.30%,,,53.90%,8.06%,0.69%,-1.15%,1.32,0.93%,1.17%,3.08%,1.46%,-4.21%,10.86%,-8.32%,17.19%,51.27,47.97
CL,Colgate-Palmolive Co.,Consumer Goods,Personal Products,USA,27.02,19.75,3.09,3.38,33.28,50.79,53.22,2.23%,57.90%,2.39,-7.40%,10.36%,5.40%,8.74%,2.60%,11.70%,0.10%,16.00%,119.00%,30.20%,58.80%,22.00%,12.80%,-2.74%,5.33%,12.85%,0.46,0.83%,1.24%,-3.58%,-0.36%,-7.63%,2.67%,-7.63%,15.83%,41.78,64.57
CLR,"Continental Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,44.11,18.15,1.74,7.99,6.44,36.03,,,0.00%,3.41,1.50%,22.52%,16.90%,25.38%,29.20%,-68.00%,-18.90%,5.00%,15.50%,11.50%,99.20%,42.90%,18.00%,9.51%,21.19%,61.86%,1.56,2.34%,2.57%,-0.43%,17.70%,-5.54%,7.70%,-5.54%,64.21%,53.84,150.42
CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,USA,20.56,18.92,2.94,2.04,217.59,31.52,54.63,3.32%,63.10%,4.34,5.40%,6.75%,6.00%,7.00%,1.30%,6.00%,-1.90%,13.10%,523.90%,22.80%,42.70%,17.30%,10.10%,1.81%,4.11%,9.80%,0.45,0.76%,1.32%,-0.77%,0.79%,-3.79%,3.70%,-5.57%,14.84%,51.55,89.21
CMA,Comerica Incorporated,Financial,Money Center Banks,USA,17.24,15.38,1.57,5.14,1.22,2.27,13.67,1.59%,24.10%,2.92,6.30%,5.04%,17.40%,11.00%,-10.20%,6.70%,-0.50%,0.80%,7.60%,13.40%,,50.30%,30.80%,8.00%,6.74%,18.83%,1.22,1.29%,1.47%,0.89%,5.10%,-3.62%,4.18%,-5.51%,32.09%,57.81,50.35
CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,19.08,16.52,1.12,2.08,2.7,36.36,36.01,1.66%,29.20%,2.84,10.30%,11.07%,24.40%,17.00%,13.40%,16.90%,3.50%,4.80%,14.70%,9.70%,69.10%,21.40%,11.20%,4.70%,6.84%,31.12%,1.25,1.01%,1.34%,0.57%,5.45%,-4.09%,4.65%,-4.09%,34.20%,51.51,54.18
CME,CME Group Inc.,Financial,Investment Brokerage - National,USA,26.17,20.31,2.24,8.64,1.17,1.19,,2.51%,63.90%,2.86,8.10%,15.73%,3.70%,11.67%,2.80%,-15.10%,-10.40%,1.80%,4.50%,4.20%,,54.60%,33.00%,6.15%,2.04%,9.03%,1.08,1.12%,1.31%,3.04%,2.08%,-1.78%,7.34%,-7.59%,13.44%,63.31,74.86
CMG,"Chipotle Mexican Grill, Inc.",Services,Restaurants,USA,59.7,39.15,2.51,5.79,11.99,26.1,52.63,,0.00%,11.34,19.70%,26.93%,34.70%,23.75%,19.30%,24.10%,28.60%,17.10%,22.30%,21.20%,26.40%,16.20%,9.80%,29.60%,22.11%,66.31%,0.61,1.38%,1.49%,7.11%,20.62%,-3.01%,18.76%,-3.01%,70.09%,58.85,676.95
CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,USA,17.1,13.16,1.22,1.48,3.41,11.24,40.59,1.72%,29.40%,8.49,-8.80%,22.16%,15.50%,14.07%,3.80%,10.50%,6.90%,10.60%,21.10%,17.00%,25.50%,10.20%,8.70%,-3.22%,-0.12%,16.29%,1.71,1.57%,1.80%,-3.06%,1.83%,-8.83%,5.93%,-9.82%,20.97%,49.07,145.22
CMS,CMS Energy Corp.,Utilities,Electric Utilities,USA,15.84,15.93,2.33,1.15,2.2,23.09,,3.61%,54.10%,1.89,18.60%,6.04%,6.70%,6.80%,-0.70%,3.40%,4.40%,2.90%,14.60%,7.40%,56.40%,17.10%,7.20%,3.10%,7.58%,16.14%,0.33,1.04%,1.48%,0.59%,6.52%,-3.26%,7.31%,-3.26%,20.70%,55.38,29.94
CNA,CNA Financial Corporation,Financial,Property & Casualty Insurance,USA,10.63,10.32,1.06,1.03,0.79,50.63,16.58,2.61%,66.20%,3.6,48.90%,9.71%,37.20%,10.00%,1.90%,37.10%,-0.90%,1.30%,6.10%,7.30%,,29.00%,7.70%,-3.80%,-5.65%,11.09%,1.22,1.26%,1.61%,-1.71%,-4.33%,-6.04%,4.07%,-11.08%,14.48%,50.47,38.26
CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,19.01,19.9,4.91,1.19,2.38,10.38,,3.87%,69.00%,1.29,-25.80%,5.30%,-11.10%,3.87%,-6.50%,208.70%,-0.50%,2.50%,12.80%,4.10%,23.60%,8.40%,6.30%,3.72%,2.59%,10.75%,0.48,1.25%,1.53%,0.09%,4.17%,-3.84%,5.50%,-3.84%,13.27%,51.63,24.52
CNQR,"Concur Technologies, Inc.",Technology,Technical & System Software,USA,,104.1,,8.58,7.32,7.02,152,,,-1.56,-238.50%,58.20%,-26.60%,18.33%,20.40%,-100.00%,28.60%,-5.10%,-11.00%,0.20%,65.80%,-5.70%,-13.10%,17.70%,-20.35%,2.91%,0.8,1.42%,2.52%,7.45%,2.26%,-0.76%,17.37%,-22.95%,34.97%,65.23,100.46
